Cell_ID,Cell_class_id,Cell_class_name
0,3,Neurons
1,3,Neurons
2,6,Vascular
3,3,Neurons
4,7,ambiguous
5,3,Neurons
6,3,Neurons
7,3,Neurons
8,5,PeripheralGlia
9,3,Neurons
10,5,PeripheralGlia
11,0,Astrocytes
12,0,Astrocytes
13,4,Oligos
14,5,PeripheralGlia
15,4,Oligos
16,0,Astrocytes
17,4,Oligos
18,3,Neurons
19,1,Ependymal
20,3,Neurons
21,0,Astrocytes
22,6,Vascular
23,2,Immune
24,2,Immune
25,3,Neurons
26,1,Ependymal
27,0,Astrocytes
28,0,Astrocytes
29,0,Astrocytes
30,3,Neurons
31,3,Neurons
32,4,Oligos
33,3,Neurons
34,1,Ependymal
35,0,Astrocytes
36,3,Neurons
37,4,Oligos
38,1,Ependymal
39,3,Neurons
40,0,Astrocytes
41,3,Neurons
42,3,Neurons
43,0,Astrocytes
44,3,Neurons
45,3,Neurons
46,3,Neurons
47,3,Neurons
48,6,Vascular
49,2,Immune
50,0,Astrocytes
51,6,Vascular
52,4,Oligos
53,6,Vascular
54,3,Neurons
55,3,Neurons
56,3,Neurons
57,5,PeripheralGlia
58,3,Neurons
59,7,ambiguous
60,3,Neurons
61,3,Neurons
62,3,Neurons
63,3,Neurons
64,3,Neurons
65,1,Ependymal
66,0,Astrocytes
67,4,Oligos
68,2,Immune
69,3,Neurons
70,3,Neurons
71,4,Oligos
72,3,Neurons
73,3,Neurons
74,2,Immune
75,3,Neurons
76,3,Neurons
77,3,Neurons
78,3,Neurons
79,0,Astrocytes
80,1,Ependymal
81,3,Neurons
82,5,PeripheralGlia
83,2,Immune
84,3,Neurons
85,3,Neurons
86,3,Neurons
87,3,Neurons
88,0,Astrocytes
89,4,Oligos
90,3,Neurons
91,0,Astrocytes
92,3,Neurons
93,4,Oligos
94,2,Immune
95,2,Immune
96,4,Oligos
97,0,Astrocytes
98,3,Neurons
99,5,PeripheralGlia
100,3,Neurons
101,3,Neurons
102,4,Oligos
103,6,Vascular
104,3,Neurons
105,5,PeripheralGlia
106,6,Vascular
107,1,Ependymal
108,4,Oligos
109,0,Astrocytes
110,3,Neurons
111,1,Ependymal
112,3,Neurons
113,5,PeripheralGlia
114,1,Ependymal
115,6,Vascular
116,3,Neurons
117,3,Neurons
118,3,Neurons
119,4,Oligos
120,3,Neurons
121,1,Ependymal
122,2,Immune
123,3,Neurons
124,3,Neurons
125,6,Vascular
126,3,Neurons
127,3,Neurons
128,3,Neurons
129,5,PeripheralGlia
130,3,Neurons
131,3,Neurons
132,1,Ependymal
133,6,Vascular
134,2,Immune
135,3,Neurons
136,4,Oligos
137,3,Neurons
138,1,Ependymal
139,5,PeripheralGlia
140,4,Oligos
141,3,Neurons
142,3,Neurons
143,3,Neurons
144,3,Neurons
145,4,Oligos
146,0,Astrocytes
147,3,Neurons
148,5,PeripheralGlia
149,5,PeripheralGlia
150,5,PeripheralGlia
151,3,Neurons
152,5,PeripheralGlia
153,3,Neurons
154,3,Neurons
155,1,Ependymal
156,6,Vascular
157,0,Astrocytes
158,3,Neurons
159,3,Neurons
160,0,Astrocytes
161,5,PeripheralGlia
162,3,Neurons
163,0,Astrocytes
164,6,Vascular
165,3,Neurons
166,3,Neurons
167,3,Neurons
168,0,Astrocytes
169,0,Astrocytes
170,5,PeripheralGlia
171,3,Neurons
172,3,Neurons
173,5,PeripheralGlia
174,5,PeripheralGlia
175,3,Neurons
176,7,ambiguous
177,0,Astrocytes
178,4,Oligos
179,4,Oligos
180,3,Neurons
181,0,Astrocytes
182,6,Vascular
183,3,Neurons
184,3,Neurons
185,3,Neurons
186,6,Vascular
187,6,Vascular
188,3,Neurons
189,3,Neurons
190,3,Neurons
191,0,Astrocytes
192,4,Oligos
193,3,Neurons
194,3,Neurons
195,5,PeripheralGlia
196,5,PeripheralGlia
197,7,ambiguous
198,1,Ependymal
199,5,PeripheralGlia
200,3,Neurons
201,3,Neurons
202,3,Neurons
203,3,Neurons
204,3,Neurons
205,3,Neurons
206,3,Neurons
207,0,Astrocytes
208,3,Neurons
209,0,Astrocytes
210,3,Neurons
211,3,Neurons
212,3,Neurons
213,5,PeripheralGlia
214,3,Neurons
215,3,Neurons
216,1,Ependymal
217,3,Neurons
218,3,Neurons
219,3,Neurons
220,3,Neurons
221,5,PeripheralGlia
222,3,Neurons
223,3,Neurons
224,3,Neurons
225,3,Neurons
226,3,Neurons
227,6,Vascular
228,4,Oligos
229,3,Neurons
230,4,Oligos
231,3,Neurons
232,3,Neurons
233,3,Neurons
234,3,Neurons
235,3,Neurons
236,4,Oligos
237,4,Oligos
238,4,Oligos
239,6,Vascular
240,3,Neurons
241,3,Neurons
242,3,Neurons
243,4,Oligos
244,5,PeripheralGlia
245,0,Astrocytes
246,4,Oligos
247,3,Neurons
248,3,Neurons
249,1,Ependymal
250,3,Neurons
251,3,Neurons
252,6,Vascular
253,3,Neurons
254,6,Vascular
255,3,Neurons
256,3,Neurons
257,1,Ependymal
258,3,Neurons
259,4,Oligos
260,3,Neurons
261,2,Immune
262,6,Vascular
263,3,Neurons
264,1,Ependymal
265,6,Vascular
266,7,ambiguous
267,6,Vascular
268,3,Neurons
269,6,Vascular
270,2,Immune
271,0,Astrocytes
272,0,Astrocytes
273,5,PeripheralGlia
274,3,Neurons
275,6,Vascular
276,3,Neurons
277,5,PeripheralGlia
278,3,Neurons
279,3,Neurons
280,6,Vascular
281,6,Vascular
282,0,Astrocytes
283,6,Vascular
284,3,Neurons
285,3,Neurons
286,4,Oligos
287,3,Neurons
288,1,Ependymal
289,2,Immune
290,3,Neurons
291,3,Neurons
292,3,Neurons
293,3,Neurons
294,5,PeripheralGlia
295,0,Astrocytes
296,3,Neurons
297,1,Ependymal
298,3,Neurons
299,3,Neurons
300,3,Neurons
301,3,Neurons
302,3,Neurons
303,3,Neurons
304,3,Neurons
305,4,Oligos
306,3,Neurons
307,6,Vascular
308,1,Ependymal
309,3,Neurons
310,4,Oligos
311,3,Neurons
312,6,Vascular
313,0,Astrocytes
314,3,Neurons
315,3,Neurons
316,3,Neurons
317,6,Vascular
318,4,Oligos
319,3,Neurons
320,3,Neurons
321,3,Neurons
322,4,Oligos
323,3,Neurons
324,3,Neurons
325,5,PeripheralGlia
326,3,Neurons
327,3,Neurons
328,4,Oligos
329,3,Neurons
330,4,Oligos
331,3,Neurons
332,3,Neurons
333,4,Oligos
334,3,Neurons
335,3,Neurons
336,3,Neurons
337,5,PeripheralGlia
338,3,Neurons
339,0,Astrocytes
340,3,Neurons
341,3,Neurons
342,3,Neurons
343,3,Neurons
344,2,Immune
345,3,Neurons
346,3,Neurons
347,3,Neurons
348,0,Astrocytes
349,5,PeripheralGlia
350,5,PeripheralGlia
351,2,Immune
352,0,Astrocytes
353,6,Vascular
354,3,Neurons
355,5,PeripheralGlia
356,3,Neurons
357,3,Neurons
358,0,Astrocytes
359,3,Neurons
360,0,Astrocytes
361,3,Neurons
362,3,Neurons
363,3,Neurons
364,3,Neurons
365,3,Neurons
366,4,Oligos
367,3,Neurons
368,3,Neurons
369,3,Neurons
370,3,Neurons
371,4,Oligos
372,6,Vascular
373,3,Neurons
374,0,Astrocytes
375,3,Neurons
376,4,Oligos
377,3,Neurons
378,3,Neurons
379,0,Astrocytes
380,3,Neurons
381,1,Ependymal
382,3,Neurons
383,3,Neurons
384,6,Vascular
385,3,Neurons
386,7,ambiguous
387,3,Neurons
388,3,Neurons
389,1,Ependymal
390,3,Neurons
391,6,Vascular
392,0,Astrocytes
393,3,Neurons
394,3,Neurons
395,1,Ependymal
396,3,Neurons
397,3,Neurons
398,3,Neurons
399,1,Ependymal
400,3,Neurons
401,6,Vascular
402,3,Neurons
403,4,Oligos
404,3,Neurons
405,0,Astrocytes
406,2,Immune
407,3,Neurons
408,1,Ependymal
409,3,Neurons
410,1,Ependymal
411,2,Immune
412,3,Neurons
413,0,Astrocytes
414,6,Vascular
415,4,Oligos
416,1,Ependymal
417,2,Immune
418,3,Neurons
419,0,Astrocytes
420,4,Oligos
421,3,Neurons
422,3,Neurons
423,0,Astrocytes
424,3,Neurons
425,3,Neurons
426,4,Oligos
427,0,Astrocytes
428,1,Ependymal
429,0,Astrocytes
430,3,Neurons
431,3,Neurons
432,6,Vascular
433,3,Neurons
434,2,Immune
435,3,Neurons
436,1,Ependymal
437,3,Neurons
438,0,Astrocytes
439,3,Neurons
440,7,ambiguous
441,3,Neurons
442,3,Neurons
443,4,Oligos
444,3,Neurons
445,4,Oligos
446,0,Astrocytes
447,3,Neurons
448,3,Neurons
449,3,Neurons
450,4,Oligos
451,0,Astrocytes
452,7,ambiguous
453,0,Astrocytes
454,3,Neurons
455,0,Astrocytes
456,3,Neurons
457,0,Astrocytes
458,3,Neurons
459,0,Astrocytes
460,3,Neurons
461,3,Neurons
462,3,Neurons
463,4,Oligos
464,3,Neurons
465,5,PeripheralGlia
466,3,Neurons
467,2,Immune
468,3,Neurons
469,3,Neurons
470,0,Astrocytes
471,3,Neurons
472,3,Neurons
473,6,Vascular
474,3,Neurons
475,3,Neurons
476,4,Oligos
477,3,Neurons
478,3,Neurons
479,5,PeripheralGlia
480,6,Vascular
