Cell_ID,Cell_class_id,Cell_class,Cell_class_name
462b4baf-6b68-4d73-bcf1-ebd7aa09e28d,1,Endothelial 1,Endothelial
4a5fae4f-3b2d-4a81-80f9-ab7ed5c33ccc,1,Endothelial 2,Endothelial
fec58bdd-10bf-4924-bd49-703afbdb2016,1,Endothelial 2,Endothelial
46215d3d-2bd6-48ad-b76c-2ed33aa6e921,1,Endothelial 2,Endothelial
83fb0653-ddf4-45a8-bc01-5e9020218443,1,Endothelial 2,Endothelial
5b61346c-f5b3-4829-93e0-22949e8ed56c,0,Astrocyte,Astrocyte
3842055c-5aba-4917-9be6-6016ddb701a2,1,Endothelial 2,Endothelial
943ff54c-6135-4491-804f-8a883952a58d,7,OD Mature 2,OD Mature
8a48b138-7542-4a79-a11c-884b69f03edf,0,Astrocyte,Astrocyte
e0cd068a-66fc-435f-8cb1-5c559fc31b8f,1,Endothelial 3,Endothelial
0d7a23a4-d45e-418e-a8b0-1f9842e65424,5,Microglia,Microglia
116407dd-d149-4344-9b7b-dfd3e1f6398d,1,Endothelial 2,Endothelial
73bd329e-88ed-444a-bc03-b357fd7da11a,0,Astrocyte,Astrocyte
331c39a8-a7d0-46e9-af92-2aaaf1c4514a,1,Endothelial 2,Endothelial
67a5ccce-ab16-419e-ba33-b883308ca788,4,Inhibitory,Inhibitory
5c89dbdc-5556-4f33-ad03-6eaacf929c97,1,Endothelial 2,Endothelial
392782b9-9ab6-48bc-ad03-e29524717266,1,Endothelial 1,Endothelial
77ba3d32-bcbd-4b1f-9c86-e9a606e72e09,7,OD Mature 1,OD Mature
3fd553a0-78df-41b5-9b4f-b5b11854ae69,6,OD Immature 1,OD Immature
1d8db972-ca27-4c04-8f6b-7594e5d6c6bd,0,Astrocyte,Astrocyte
7278a543-71f1-4b88-a8c3-c6edec096e94,1,Endothelial 2,Endothelial
97282cb6-01a8-4ce6-b31f-c6d5be1d90bb,8,Pericytes,Pericytes
9879433c-1f4b-4861-8545-7598d28ab422,0,Astrocyte,Astrocyte
11e80d28-35b1-47d5-be1a-7d55ec49ac94,8,Pericytes,Pericytes
8b3715ed-015e-4dfe-9910-644376f3ffdf,8,Pericytes,Pericytes
f40be0ab-506b-47ea-8b42-d5726b7e1b90,8,Pericytes,Pericytes
d59351d7-9ab5-46c9-ad71-a99b6b921198,8,Pericytes,Pericytes
c9c6b196-353b-4a01-8257-a949493bbee1,8,Pericytes,Pericytes
183c3304-4740-4d0f-8878-30ee65ea4fb3,1,Endothelial 2,Endothelial
50f81956-301f-4033-aeca-4ff7ecc6431f,0,Astrocyte,Astrocyte
e368a44a-b309-4075-a4dc-948ee2e7ef39,8,Pericytes,Pericytes
6be6d0e9-e02a-4013-b2a4-1f9f5b1ea50e,0,Astrocyte,Astrocyte
23bfe1d7-8e2b-414b-aadc-9eb4d58e2752,1,Endothelial 2,Endothelial
8712be32-0729-47e4-9478-5c74c3078975,1,Endothelial 2,Endothelial
c91056d8-db17-47d4-ae9e-21a4ec2661af,1,Endothelial 2,Endothelial
0fb9b13e-f313-43bc-a7b9-3683ef93de96,0,Astrocyte,Astrocyte
2ca053f1-7ae0-41ae-b4b4-b32bacf878fa,1,Endothelial 2,Endothelial
f448de2b-111c-4fa9-84e1-c41cafef8e78,0,Astrocyte,Astrocyte
7b13fb85-b3fe-460a-8c0d-0e872ba2be98,8,Pericytes,Pericytes
1d1b7783-0062-486d-9673-6ff511b6d15a,8,Pericytes,Pericytes
b8e29fc2-2f95-47b1-8e0e-87c103af4057,8,Pericytes,Pericytes
79389eb1-99ad-4738-a2f9-52f382eb41c8,1,Endothelial 2,Endothelial
9690bb9c-1e6e-4463-a539-612d9199a50d,8,Pericytes,Pericytes
59ceaa6c-de91-4df7-beb7-b38de6936181,4,Inhibitory,Inhibitory
b6d4fded-9fed-4ef0-8b3e-fde3f8f8967a,0,Astrocyte,Astrocyte
939a967a-a7f7-42d9-8530-f33f97823796,4,Inhibitory,Inhibitory
4e140c96-fe36-4958-a65e-b570fdf4bf3c,8,Pericytes,Pericytes
c2002e20-e4ea-4c3a-8a0d-d7ee2b81cd18,0,Astrocyte,Astrocyte
907553ee-7241-4007-9315-199298998070,0,Astrocyte,Astrocyte
7f19e7d5-2ee4-4a06-83ba-1eaef6968f1d,8,Pericytes,Pericytes
bb6ed8e9-cefd-4a70-b11d-b0b5fbda2f25,1,Endothelial 1,Endothelial
bf879f38-8dff-42d4-9e66-08150a00bad9,8,Pericytes,Pericytes
ef8d4480-9e38-44dc-b66e-ac1851dac9b6,8,Pericytes,Pericytes
f741e66f-3739-4435-b1aa-bafb830b6da8,8,Pericytes,Pericytes
2e236021-d807-4958-b5bb-28597734f1ae,8,Pericytes,Pericytes
c176415e-ba2c-43b2-ae94-89e65992f4f3,1,Endothelial 1,Endothelial
50f2a9b2-bbfe-4fdc-9fb0-093b0b85a963,7,OD Mature 2,OD Mature
613e8368-96f7-41de-8308-6c215db877fd,7,OD Mature 2,OD Mature
93246668-234b-402e-9cdc-fd74f4220503,3,Excitatory,Excitatory
df8f12a2-9ad5-4074-b2ce-86f90ecffe0b,4,Inhibitory,Inhibitory
717440fe-bb79-4bd2-a086-6935aad64436,4,Inhibitory,Inhibitory
0813c559-b013-41b9-8880-928565c6f657,7,OD Mature 2,OD Mature
4742bc6d-27b2-45f0-a929-d2ca363aa8bd,7,OD Mature 2,OD Mature
ebb30009-857c-499e-b2f1-8618ba51bcb1,0,Astrocyte,Astrocyte
0fbe5102-ed09-4f57-b8d1-3b1a8bd87834,0,Astrocyte,Astrocyte
cf450d76-5b07-48a7-ab9d-0c3cfafcf862,3,Excitatory,Excitatory
960ece4c-020a-401f-9b5c-d0f1b7da3686,4,Inhibitory,Inhibitory
30a286de-353b-4152-ba4e-0b635d263088,1,Endothelial 3,Endothelial
c7d4ad9e-1326-4616-b97d-86762747ae22,6,OD Immature 1,OD Immature
ef7bae17-9015-4504-b03c-4309a5dce3ba,7,OD Mature 2,OD Mature
6e4e0bfb-7eef-4a16-a82b-47cf46982f66,5,Microglia,Microglia
03c1d130-4231-4cbd-9574-249fc9705149,4,Inhibitory,Inhibitory
9eef35c2-0fc2-4d60-a0ed-b6b6fef77664,3,Excitatory,Excitatory
fd005ea4-4713-4ae6-b202-3166bd18a71e,3,Excitatory,Excitatory
e0689be5-1ea8-47e1-87b1-6720e0198298,3,Excitatory,Excitatory
1d87fca9-35cc-4764-8111-f218437c1c6a,0,Astrocyte,Astrocyte
cfa4eea4-1c35-4adb-877c-38fe93ea32c1,4,Inhibitory,Inhibitory
90998a2f-c24d-4299-8a9b-02df0cf1c95d,4,Inhibitory,Inhibitory
5578d290-75ff-433b-8d46-cc9556809978,0,Astrocyte,Astrocyte
17294188-c8ca-4ea2-87af-f0bbc16821b7,8,Pericytes,Pericytes
ab6d4f90-2f3c-4601-963e-c16fde04496c,8,Pericytes,Pericytes
ea62e992-fd44-4ff1-9c7f-39fd19bf17f9,8,Pericytes,Pericytes
16926e4c-13c1-40d0-9928-9c30ff5ac761,8,Pericytes,Pericytes
